time,close,regime_score,regime_label,risk_score,risk_label,raw_base,ceiling,modifier,dd,score_A_roll,score_B_roll,score_C,rank_A_roll,rank_A_exp,r12,risk_C,risk_D,status
2013-12-30,905.0,,INSUFFICIENT,,INSUFFICIENT,,,0.0,,,,,,,,,,INSUFFICIENT HISTORY
2014-01-06,844.05,,INSUFFICIENT,,INSUFFICIENT,,,0.0,,,,,,,,,,INSUFFICIENT HISTORY
2014-01-13,842.07,,INSUFFICIENT,,INSUFFICIENT,,,0.0,,,,,,,,,,INSUFFICIENT HISTORY
2014-01-20,814.75,,INSUFFICIENT,,INSUFFICIENT,,,0.0,,,,,,,,,,INSUFFICIENT HISTORY
2014-01-27,814.99,,INSUFFICIENT,,INSUFFICIENT,,,0.0,,,,,,,,,,INSUFFICIENT HISTORY
2014-02-03,687.37,,INSUFFICIENT,,INSUFFICIENT,,,0.0,,,,,,,,,,INSUFFICIENT HISTORY
2014-02-10,621.0,,INSUFFICIENT,,INSUFFICIENT,,,0.0,,,,,,,,,,INSUFFICIENT HISTORY
2014-02-17,610.09,,INSUFFICIENT,,INSUFFICIENT,,,0.0,,,,,,,,,,INSUFFICIENT HISTORY
2014-02-24,566.24,,INSUFFICIENT,,INSUFFICIENT,,,0.0,,,,,,,,,,INSUFFICIENT HISTORY
2014-03-03,640.0,,INSUFFICIENT,,INSUFFICIENT,,,0.0,,,,,,,,,,INSUFFICIENT HISTORY
2014-03-10,634.99,,INSUFFICIENT,,INSUFFICIENT,,,-2.5033310938400796e-10,,,,,,,,,,INSUFFICIENT HISTORY
2014-03-17,561.0,,INSUFFICIENT,,INSUFFICIENT,,,-1.1940816747319972e-07,,,,,,,,,,INSUFFICIENT HISTORY
2014-03-24,460.0,,INSUFFICIENT,,INSUFFICIENT,,,-0.000535523600476767,,,,,,,,,,INSUFFICIENT HISTORY
2014-03-31,456.27,,INSUFFICIENT,,INSUFFICIENT,,,-0.001157265209340153,,,,,,,,,,INSUFFICIENT HISTORY
2014-04-07,416.3,,INSUFFICIENT,,INSUFFICIENT,,,-0.017286717192540633,,,,,,,,,,INSUFFICIENT HISTORY
2014-04-14,500.0,,INSUFFICIENT,,INSUFFICIENT,,,-0.013848598691058022,,,,,,,,,,INSUFFICIENT HISTORY
2014-04-21,430.0,,INSUFFICIENT,,INSUFFICIENT,,,-0.011090352623661908,,,,,,,,,,INSUFFICIENT HISTORY
2014-04-28,438.04,,INSUFFICIENT,,INSUFFICIENT,,,-0.008877496429530292,,,,,,,,,,INSUFFICIENT HISTORY
2014-05-05,440.0,,INSUFFICIENT,,INSUFFICIENT,,,-0.007106299429583528,,,,,,,,,,INSUFFICIENT HISTORY
2014-05-12,446.91,,INSUFFICIENT,,INSUFFICIENT,,,-0.005687223860922599,,,,,,,,,,INSUFFICIENT HISTORY
2014-05-19,573.9,,INSUFFICIENT,,INSUFFICIENT,,,-0.004549779097230267,,,,,,,,,,INSUFFICIENT HISTORY
2014-05-26,630.99,,INSUFFICIENT,,INSUFFICIENT,,,-0.0036398232778156003,,,,,,,,,,INSUFFICIENT HISTORY
2014-06-02,658.0,,INSUFFICIENT,,INSUFFICIENT,,,-0.0029118586222524803,,,,,,,,,,INSUFFICIENT HISTORY
2014-06-09,588.55,,INSUFFICIENT,,INSUFFICIENT,,,-0.0023294868998197374,,,,,,,,,,INSUFFICIENT HISTORY
2014-06-16,600.34,,INSUFFICIENT,,INSUFFICIENT,,,-0.0018635895204904842,,,,,,,,,,INSUFFICIENT HISTORY
2014-06-23,599.89,,INSUFFICIENT,,INSUFFICIENT,,,-0.0014908716170557276,,,,,,,,,,INSUFFICIENT HISTORY
2014-06-30,630.57,,INSUFFICIENT,,INSUFFICIENT,,,-0.001192697293677289,,,,,,,,,,INSUFFICIENT HISTORY
2014-07-07,630.88,,INSUFFICIENT,,INSUFFICIENT,,,-0.0009541578349735585,,,,,,,,,,INSUFFICIENT HISTORY
2014-07-14,627.0,,INSUFFICIENT,,INSUFFICIENT,,,-0.0007633262680252702,,,,,,,,,,INSUFFICIENT HISTORY
